set,card_id,card,review_status,priority,current_issue,recommended_tactic_signals,recommended_strategy_support_pairs,recommended_target_or_constraints,rationale,stats_bucket
originalset-v1,onr_v1_194_corporate-downsizing,Corporate Downsizing,ändern,medium,Aktuell fehlt ein möglicher Central-Stabilize-Anker; die Karte reduziert HQ-Agenda-Dichte und gibt Credits.,economy.corp_agenda_reveal_burst; hq.corp_agenda_density_reduction; rnd.corp_agenda_shuffle_from_hq; score.hq_agenda_reveal; score.hq_agenda_shuffle,corp.central_stabilize -> defensive_tool/hq_agenda_flood_cleanup (medium),"Choice: any number of agenda cards in HQ; side-safe, weil eigene HQ-Karten.",Der Effekt ist nicht nur Economy: er räumt Agendas aus HQ und stabilisiert gegen HQ-Steals. Wegen Konditionalität medium.,central_stabilize; hq_agenda_cleanup; add_anchor
originalset-v1,onr_v1_195_corporate-retreat,Corporate Retreat,kleine Änderung,low,Support-only ist richtig; Risiko/Constraint sollte deutlicher sein.,economy.corp_credit_action; score.agenda_action; risk.loses_ability_on_install_or_rez,_keine_,constraint.ability_lost_on_install_or_rez,"Die Karte ist riskante, langsame Economy. Kein Strategieanker, weil der Nutzen generisch ist und der Drawback stark einschränkt.",economy; risk; support_only
originalset-v1,onr_v1_196_corporate-war,Corporate War,kleine Änderung,low,Support-only ist richtig; Schwellwert und Crash-Risiko sind zentral.,economy.corp_threshold_burst; score.economy_conditional_burst; risk.requires_corp_credit_threshold; risk.economy_crash_on_score,_keine_,condition.corp_credits_at_score_at_least_12,Reiner Economy-Swing mit hartem Risiko. Kein Fast-Advance-Anker nur wegen viel Geld.,economy; threshold_risk; support_only
originalset-v1,onr_v1_197_data-fort-reclamation,Data Fort Reclamation,kleine Änderung,low,Pair ist gut; Signale und Target/Sequence-Gap sollten präziser werden.,install.corp_new_remote_fort_from_hq; economy.corp_install_rez_budget; score.remote_fort_creation; score.remote_install_budget,corp.remote_scoring -> engine_anchor/remote_setup_engine (high),"TargetProfile nötig: bis zu vier HQ-Karten wählen, Install-Reihenfolge, optional rezzen, Budget-Nutzung.",Das ist eine echte Remote-Setup-Engine nach Score. Der Report liegt hier fachlich richtig; nur Zielwahl/Sequenz müssen nachgezogen werden.,remote_setup; target_gap
originalset-v1,onr_v1_198_detroit-police-contract,Detroit Police Contract,kleine Änderung,low,Support-only ist richtig; Counterbank/Recurring Economy präzisieren.,economy.corp_recurring_counter_bank; economy.corp_start_turn_payout; score.economy_counter_bank,_keine_,Self counter bank; keine Zielwahl,"Recurring Credits sind nützlich, aber generische Economy bleibt support-only.",economy; support_only
originalset-v1,onr_v1_199_employee-empowerment,Employee Empowerment,kleine Änderung,low,"Support-only ist richtig; zeigt aber, warum Unlisted Research Lab nicht remote_scoring sein sollte.",draw.corp_recurring_optional; draw.corp_action_draw; score.recurring_draw; score.agenda_action,_keine_ (deferred: corp.draw_engine / corp.value_engine),keins,"Wiederholbarer Draw ist stark, aber generisch. Ohne eigene Draw-Engine-Strategy kein Strategieanker.",draw_engine_candidate; support_only
originalset-v1,onr_v1_200_encryption-breakthrough,Encryption Breakthrough,kleine Änderung,low,Pair ist richtig; Scope/Reveal-Economy trennen.,ice.corp_code_gate_strength_bonus; ice.corp_strength_bonus; economy.corp_ice_type_reveal_burst; score.code_gate_strength_bonus; score.ice_type_tax_support,corp.ice_tax_glacier -> tax_tool/code_gate_tax_anchor (high),constraint.only_code_gates; kein TargetProfile für globalen Buff,"Code-Gate-Buff trägt ICE-Tax. Reveal-Economy ist Supporting Evidence, nicht der Ankergrund.",ice_tax; subtype_constraint
originalset-v1,onr_v1_201_executive-extraction,Executive Extraction,kleine Änderung,low,"Wie Artificial Security Directors: Rolle genauer, Subtype nicht als Strategie.",score.agenda_difficulty_discount; score.gray_ops_difficulty_discount,corp.fast_advance -> enabler/gray_ops_difficulty_enabler (medium),constraint.only_gray_ops_agendas,"Difficulty-Reduction erleichtert zukünftige Scores; Gray Ops bleibt Scope, keine Strategie.",difficulty_discount; fast_advance_enabler
originalset-v1,onr_v1_202_genetics-visionary-acquisition,Genetics-Visionary Acquisition,kleine Änderung,low,"Wie die anderen Discount-Agendas: Rolle genauer, Subtype nicht als Strategie.",score.agenda_difficulty_discount; score.research_difficulty_discount,corp.fast_advance -> enabler/research_difficulty_enabler (medium),constraint.only_research_agendas,Research-Difficulty-Reduction ist Score-Enabler. Nicht aus Research-Subtype eine eigene Strategie ableiten.,difficulty_discount; fast_advance_enabler
originalset-v1,onr_v1_203_hostile-takeover,Hostile Takeover,behalten,low,"Einordnung ist korrekt: einfache Economy, kein Anker.",economy.corp_credit_burst; score.economy_burst,_keine_,keins,5 Credits beim Score sind generischer Support und tragen keine Decklinie direkt.,economy; support_only
originalset-v1,onr_v1_204_ice-transmutation,Ice Transmutation,kleine Änderung,low,Pair ist richtig; TargetProfile sollte explizit werden.,ice.corp_strength_bonus_chosen; ice.corp_subroutine_repeat; score.chosen_ice_strength_bonus; score.repeat_ice_subroutines,corp.ice_tax_glacier -> payoff_anchor/ice_upgrade_payoff (high),"TargetProfile nötig: Choose a rezzed ICE; priorisiere sichtbares, zentrales oder Remote-schützendes ICE mit starken Subroutinen.",Permanenter gezielter ICE-Upgrade-Payoff ist klarer ICE-Tax/Glacier-Anker.,ice_tax; target_profile
originalset-v1,onr_v1_205_main-office-relocation,Main-Office Relocation,kleine Änderung,low,Support-only ist richtig; Signal kann zusätzlich außerhalb score.* präzisiert werden.,setup.corp_hand_size; score.hand_size,_keine_,keins,Handsize ist generischer Setup-/Stabilitätsnutzen. Kein Strategieanker.,setup; support_only
originalset-v1,onr_v1_206_marine-arcology,Marine Arcology,kleine Änderung,low,Support-only ist richtig; Zwei-Aktions-Credit-Gain sollte als ineffiziente Action-Economy sichtbar sein.,economy.corp_two_action_credit_gain; score.agenda_action,_keine_,keins,"A,A für 3 Credits ist generische Economy. Keine Decklinie.",economy; support_only
originalset-v1,onr_v1_207_netwatch-operations-office,Netwatch Operations Office,ändern,medium,`engine_anchor/tag_source` ist zu generisch; Trace-Tag-Quelle muss von Payoff und Trace-Credit getrennt werden.,trace.corp_source; tag.corp_trace_tag_source; condition.trace_success; score.trace_tag_source,corp.tag_trace_punish -> trace_tag_source (high; trace_base=2 als Bewertungsmetadatum),keins,"Wiederholbare Trace→Tag-Ability ist Tag-Quelle, kein Payoff. Geringe Trace-Stärke betrifft Action-Scoring, nicht die Rollenklasse.",tag_trace; source
originalset-v1,onr_v1_208_on-call-solo-team,On-Call Solo Team,ändern,high,`corp.tag_trace_punish -> punish_payoff` mit Evidence nur `risk.requires_tagged_runner` ist zu grob; Conditions sind keine Primärevidenz.,damage.corp_tagged_meat_payoff; damage.corp_meat_damage_source; tag.corp_tagged_runner_payoff; condition.requires_tagged_runner,corp.damage_kill -> tagged_meat_damage_payoff (high); corp.tag_trace_punish -> tagged_runner_punish_payoff (high),keins,"Die Karte nutzt Tags als Bedingung und verursacht Meat Damage. Sie ist keine Tagquelle, sondern Payoff für Tag-/Damage-Linien.",damage_kill; tagged_payoff
originalset-v1,onr_v1_209_political-coup,Political Coup,kleine Änderung,low,Support-only ist richtig; analog Corporate Coup.,economy.corp_counter_bank; economy.corp_counter_cashout_action; score.economy_counter_bank; score.agenda_action,_keine_,Self/counter cashout,"Banked Credits nach Score sind Economy-Support, keine Strategie.",economy; support_only
originalset-v1,onr_v1_210_political-overthrow,Political Overthrow,ändern,medium,"Es fehlt ein High-Agenda-Value-Signal; die Action-Economy allein unterschlägt, dass die Karte 6 Punkte wert ist. Trotzdem nicht automatisch Strategieanker.",score.high_agenda_value; score.vanilla_points; economy.corp_credit_action; score.agenda_action,"_keine_ (optional candidate: corp.remote_scoring -> win_condition/large_agenda_closeout, nur falls hohe gedruckte Agenda-Punkte als Anker zählen sollen)",keins,"Die eigentliche strategische Relevanz ist der 6-Punkte-Score, nicht A: Gain 3. Als generelle Regel sollte `score.high_agenda_value` aber nicht automatisch Remote-Scoring erzeugen, sonst würden vanilla große Agendas zu Strategieankern.",high_value_agenda; policy_question
originalset-v1,onr_v1_211_polymer-breakthrough,Polymer Breakthrough,behalten,low,"Einordnung korrekt: recurring Economy, kein Anker.",economy.corp_recurring_credit; score.economy_recurring,_keine_,keins,Einfache wiederkehrende Credits sind Support-only.,economy; support_only
originalset-v1,onr_v1_212_priority-requisition,Priority Requisition,kleine Änderung,medium,"Pairs sind plausibel, aber `scoring_tool` ist unscharf; TargetProfile für ICE-Auswahl fehlt.",ice.corp_free_rez_on_score; score.free_rez_ice,corp.ice_tax_glacier -> payoff_anchor/free_rez_ice_payoff (high); corp.remote_scoring -> score_window_payoff/free_rez_remote_defense (medium),"TargetProfile nötig: choose a piece of ICE; priorisiere teures, relevantes, bisher unrezzed ICE auf gefährdetem Server/Scoring-Remote.",Free Rez ist ein echter ICE-Tax-Payoff und kann ein Scorefenster absichern. Kein Credit-Economy-Signal.,ice_tax; remote_scoring; target_profile
originalset-v1,onr_v1_213_private-cybernet-police,Private Cybernet Police,ändern,medium,"Wie Netwatch, aber stärkerer Trace; Rolle muss `trace_tag_source` heißen.",trace.corp_source; tag.corp_trace_tag_source; condition.trace_success; score.trace_tag_source,corp.tag_trace_punish -> trace_tag_source (high; trace_base=5 als Bewertungsmetadatum),keins,"Repeatable Trace 5→Tag ist klare Tag-Quelle, kein Payoff.",tag_trace; source
originalset-v1,onr_v1_214_project-babylon,Project Babylon,ändern,high,"Der Report lässt die Karte support-only, obwohl sie ein skalierender Agenda-Punkte-/Closeout-Payoff ist.",score.conditional_bonus_agenda_points; score.overadvance_bonus; score.overadvance_scaling; advance.overadvance_payoff; risk.overadvance_investment,corp.remote_scoring -> win_condition/overadvance_agenda_point_payoff (medium),"keins; Overadvance-Bewertung braucht Boardstate/Scorefenster, aber keine Zielwahl.","Bonus-Agenda-Punkte durch Overadvance sind ein echter Score-/Closeout-Payoff. Nicht Fast Advance, aber Remote-/Overadvance-Scoreplan.",overadvance; win_condition; add_anchor
originalset-v1,onr_v1_215_security-net-optimization,Security Net Optimization,kleine Änderung,medium,Pairs sind plausibel; TargetProfile muss die Fort-Wahl modellieren.,ice.corp_fort_strength_bonus; ice.corp_strength_bonus; score.fort_ice_strength_bonus,corp.ice_tax_glacier -> tax_tool/fort_tax_anchor (high); corp.remote_scoring -> defensive_tool/remote_defense_anchor (medium),TargetProfile nötig: choose a fort; priorisiere scoring remote oder stark contestete zentrale Forts je Boardstate.,"Fortbezogener ICE-Buff trägt ICE-Tax; Remote-Pair nur dann mittelbar, wenn der gewählte Fort ein Scoring-/Schutzserver ist.",ice_tax; remote_defense; target_profile
originalset-v1,onr_v1_216_security-purge,Security Purge,ändern,high,`access.rnd_reveal_requirement` ist falsch gerichtet; Remote-Scoring-Pair ist zu indirekt. Außerdem fehlt das Trash-Risiko für Nicht-ICE.,info.corp_reveal_top_rnd_to_runner; install.corp_rnd_ice_install; ice.corp_free_rez; score.free_install_and_rez_ice; risk.trash_revealed_non_ice,corp.ice_tax_glacier -> setup_payoff/free_install_rez_ice (medium); entferne corp.remote_scoring-Pair,TargetProfile/Sequence nötig: installiere/rezzed ICE aus R&D; Server/Position wählen; Non-ICE werden getrasht.,"Die Karte baut ICE-Board auf und unterstützt Glacier. Remote-Scoring ist nur möglicher Verwendungsort, nicht primärer Strategieanker.",ice_setup; remove_remote_anchor; target_gap
originalset-v1,onr_v1_217_strike-force-kali,Strike Force Kali,ändern,high,Wie On-Call Solo Team; Rolle und Evidenz präzisieren.,damage.corp_tagged_meat_payoff; damage.corp_meat_damage_source; tag.corp_tagged_runner_payoff; condition.requires_tagged_runner,corp.damage_kill -> tagged_meat_damage_payoff (high); corp.tag_trace_punish -> tagged_runner_punish_payoff (high),keins,2 Meat Damage pro Aktion ist klarer tagged Runner Damage-Payoff. Keine Tagquelle.,damage_kill; tagged_payoff
originalset-v1,onr_v1_218_subsidiary-branch,Subsidiary Branch,ändern,medium,"Support-only ist nach aktueller Taxonomie vertretbar, aber das Signal sollte Action-Tempo statt Score/Recurring-Gemisch sein.",action.corp_recurring_extra_action; tempo.corp_recurring_action; score.recurring_extra_action,_keine_ (deferred: corp.action_tempo / corp.score_tempo),keins,"Dauerhafte zusätzliche Aktionen sind stark und deckprägend, aber laut aktueller Leitlinie nicht automatisch Fast Advance/Remote. Es fehlt wahrscheinlich eine eigene Action-Tempo-Strategy.",action_tempo_candidate; taxonomy_gap
originalset-v1,onr_v1_219_superior-net-barriers,Superior Net Barriers,kleine Änderung,low,Pair ist richtig; Scope/Reveal-Economy trennen.,ice.corp_wall_strength_bonus; ice.corp_strength_bonus; economy.corp_ice_type_reveal_burst; score.wall_strength_bonus; score.ice_type_tax_support,corp.ice_tax_glacier -> tax_tool/wall_tax_anchor (high),constraint.only_walls; kein TargetProfile für globalen Buff,Wall-Buff trägt ICE-Tax/Glacier. Reveal-Economy bleibt Supporting Evidence.,ice_tax; subtype_constraint
originalset-v1,onr_v1_220_tycho-extension,Tycho Extension,behalten,low,"Einordnung als support-only/vanilla high value ist konsistent, sofern hohe gedruckte Punkte nicht automatisch Strategieanker erzeugen.",score.high_agenda_value; score.vanilla_points,"_keine_ (policy candidate: large_agenda_closeout, falls große gedruckte Agendas strategisch zählen sollen)",keins,"Keine Fähigkeit. Die Punktezahl ist wichtig für Bewertung, sollte aber nicht automatisch Remote-Scoring-Anker sein.",vanilla; high_value_agenda; support_only
proteus,onr_proteus_001_ai-board-member,AI Board Member,ändern,medium,Support-only ist vertretbar; Signal sollte Random-Action-Modus und Extra-Action-Typen trennen.,action.corp_random_recurring_extra_action; risk.random_action_mode; action.corp_install_only_action; economy.corp_credit_action; draw.corp_draw_action,_keine_ (deferred: corp.action_tempo / corp.score_tempo),Random mode resolution; keine Zielwahl außer Folgeaktion.,"Recurring Extra Action ist potenziell deckprägend, aber zufällig und nicht automatisch Fast Advance/Remote. Eigene Tempo-Strategie wäre sauberer.",action_tempo_candidate; random
proteus,onr_proteus_002_charity-takeover,Charity Takeover,ändern,medium,"Support-only ist richtig; Bad Publicity ist aus Corp-Sicht primär Risiko, nicht positives Score-Signal.",economy.corp_credit_burst; risk.bad_publicity_gain; risk.bad_publicity_loss_condition; score.economy_burst,_keine_,condition.corp_bad_publicity_threshold_7_loss,9 Credits sind einfache Economy mit hartem Bad-Publicity-Drawback. Keine Bad-Publicity-Strategy und kein Remote/Fast-Advance-Anker.,economy; bad_publicity_risk; support_only
proteus,onr_proteus_003_corporate-headhunters,Corporate Headhunters,ändern,medium,"Grundzuordnung stimmt, aber Rolle sollte spezifisch `tagged_meat_damage_engine` heißen; Condition nicht als Primärevidenz.",damage.corp_tagged_meat_payoff; damage.corp_meat_damage_source; damage.corp_hand_size_pressure_on_successful_damage; tag.corp_tagged_runner_payoff; condition.requires_tagged_runner,corp.damage_kill -> damage_engine/tagged_meat_hand_size_pressure (high); corp.tag_trace_punish -> tagged_runner_punish_payoff (high),keins,Die Karte ist Kill-Engine: sie macht getaggten Schaden und reduziert zusätzlich Runner-Handgröße bei erfolgreichem Damage. Keine Brain-Damage-Semantik.,damage_kill; tagged_payoff; hand_size_pressure
proteus,onr_proteus_004_fetal-ai,Fetal AI,ändern,medium,"Grundrichtung stimmt, aber Signale sollten corp-seitig und damage-typ-präzise sein.",access.corp_net_damage_ambush; access.corp_agenda_steal_tax; access.archives_safe_exception; access.rnd_reveal_requirement; damage.corp_net_damage_access_punish,corp.damage_kill -> access_punish/net_damage_steal_tax (high); corp.ambush_bluff -> access_punish/agenda_net_damage_ambush (high),keins,Net-Damage beim Access plus Steal-Tax ist konkreter Access-Punish. `damage.payoff` darf nur Oberklasse sein.,access_ambush; net_damage; steal_tax
proteus,onr_proteus_005_marked-accounts,Marked Accounts,ändern,medium,Grundrichtung stimmt; `access.agenda_tag` sollte als Corp Access-Tag-Ambush präzisiert werden.,access.corp_tag_ambush; access.rnd_reveal_requirement; tag.corp_access_tag_source,corp.tag_trace_punish -> access_tag_source (high); corp.ambush_bluff -> access_punish/access_tag_ambush (medium),keins,"Access-Tag ist Tagquelle und Ambush-Punish, aber kein persistenter Tag-Source und kein Payoff.",access_ambush; tag_source
proteus,onr_proteus_006_please-dont-choke-anyone,Please Don't Choke Anyone,ändern,medium,"Support-only ist vertretbar, aber die Karte hat eine erkennbare Damage→Action-Conversion, die als Taxonomie-Gap markiert werden sollte.",damage.corp_prevent_own_damage_for_counter; action.corp_damage_conversion_counter_bank; action.corp_counter_to_extra_action; limit.once_per_turn,_keine_ (deferred: corp.action_tempo / corp.damage_conversion_tempo),Conversion trigger on successful damage; keine klassische Zielwahl,"Die Karte nutzt Damage-Quellen, verhindert den Schaden aber. Daher kein Damage-Kill-Payoff, sondern alternative Tempo-Engine.",damage_conversion; action_tempo_candidate
proteus,onr_proteus_007_project-venice,Project Venice,ändern,medium,"Support-only ist vertretbar, aber Overadvance-Payoff und Action-Tempo sollten klarer sein.",advance.overadvance_payoff; score.overadvance_bonus; score.overadvance_scaling; action.corp_recurring_extra_action,_keine_ (deferred: corp.overadvance_value / corp.action_tempo),keins,"Recurring Extra Actions aus Overadvance sind ein starker Payoff, aber ohne eigene Overadvance-/Tempo-Strategie sollte kein Fast-Advance-Anker erzwungen werden.",overadvance; action_tempo_candidate
proteus,onr_proteus_008_project-zurich,Project Zurich,ändern,low,Support-only ist vertretbar; Overadvance-Payoff und Economy sauber trennen.,advance.overadvance_payoff; score.overadvance_bonus; score.overadvance_scaling; economy.corp_recurring_credit,_keine_ (deferred: corp.overadvance_value),keins,"Overadvance erzeugt recurring Economy. Das ist Value-Support, aber ohne eigene Overadvance-Strategy kein Strategieanker.",overadvance; economy; support_only
proteus,onr_proteus_009_viral-breeding-ground,Viral Breeding Ground,ändern,high,`access.runner_program_bounce` muss corp-seitig präzisiert werden; `score.fort_trash_on_score` ist eher eigenes Fort-Trash-Risiko/Drawback.,access.corp_runner_program_bounce; access.corp_program_disruption; access.agenda_ambush; score.own_fort_trash_on_score; risk.trash_own_fort_on_score,corp.ambush_bluff -> access_punish/program_bounce_ambush (medium),TargetProfile nötig: choose up to two programs per advancement counter; eigene Score-Resolution trashing in/on fort beachten.,"Access-Punish ist Programmbounce, nicht Damage. Der Score-Effekt zerstört eigene Fort-Karten und darf nicht als positiver Remote-Setup-Anker gelesen werden.",access_ambush; program_bounce; own_fort_risk
proteus,onr_proteus_010_world-domination,World Domination,kleine Änderung,medium,"Grundzuordnung stimmt; Risiko sollte als Corp-Advancement-Investment, nicht unspezifisch „high difficulty agenda“ beschrieben werden.",score.bonus_agenda_points; score.closeout_agenda; risk.large_advancement_investment; risk.high_difficulty_agenda,corp.remote_scoring -> win_condition/one_card_score_closeout (medium),keins,"Die Karte ist eine klare Win-Condition, aber der riesige Advance-Aufwand senkt die praktische Confidence. Nicht Fast Advance.",remote_scoring; win_condition
testset,v08_project_agenda,Project Agenda,behalten,low,Fixture ohne Fähigkeit; nicht produktiv aggregieren.,_keine_,_keine_,testOnly/fixtureOnly markieren; no_signal_reason=vanilla_fixture,Keine Semantik nötig außer Test-/Fixture-Trennung.,test_fixture
testset,simple_agenda,Simple Agenda,behalten,low,Fixture ohne Fähigkeit; nicht produktiv aggregieren.,_keine_,_keine_,testOnly/fixtureOnly markieren; no_signal_reason=vanilla_fixture,Keine Semantik nötig außer Test-/Fixture-Trennung.,test_fixture
testset,simple_priority_agenda,Simple Priority Agenda,behalten,low,Fixture ohne Fähigkeit; nicht produktiv aggregieren.,_keine_,_keine_,testOnly/fixtureOnly markieren; no_signal_reason=vanilla_fixture,Keine Semantik nötig außer Test-/Fixture-Trennung.,test_fixture
